player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Adrián González Morales,Spain,Eibar,Midfielder,32.0,2245.0,6.0,12.0,"['Left Center Midfield', 'Left Wing Back', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward']","['Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Forward', 'Left Midfield', 'Left Midfield', 'Left Wing Back', 'Left Center Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Center Attacking Midfield']",24.944444444444443
Adrián López Álvarez,Spain,Villarreal,Forward,16.0,806.0,6.0,9.0,"['Left Center Forward', 'Right Center Forward']","['Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward']",8.955555555555556
Adrián Marín Gómez,Spain,Villarreal,Defender,11.0,929.0,1.0,0.0,"['Left Back', 'Right Center Back']","['Right Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",10.322222222222223
Ager Aketxe Barrutia,Spain,Athletic Club,Forward,3.0,189.0,1.0,1.0,"['Center Attacking Midfield', 'Left Wing']","['Left Wing', 'Left Wing', 'Center Attacking Midfield']",2.1
Alberto De La Bella Madureño,Spain,Real Sociedad,Defender,15.0,1250.0,1.0,1.0,"['Right Back', 'Left Back', 'Left Center Back']","['Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Right Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",13.88888888888889
Alberto García Cabrera,Spain,Sporting Gijón,Goalkeeper,6.0,540.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",6.0
Alberto Guitián Ceballos,Spain,Sporting Gijón,Defender,1.0,90.0,0.0,0.0,['Right Center Back'],['Right Center Back'],1.0
Alberto Lopo García,Spain,RC Deportivo La Coruña,Defender,10.0,749.0,2.0,0.0,"['Center Back', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",8.322222222222223
Alberto Lora Ramos,Spain,Sporting Gijón,Defender,31.0,2429.0,5.0,2.0,"['Right Back', 'Left Center Midfield', 'Center Forward', 'Right Wing Back', 'Right Midfield', 'Left Center Forward', 'Right Center Back', 'Right Center Forward', 'Left Back']","['Right Back', 'Right Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Midfield', 'Right Back', 'Left Center Forward', 'Left Center Midfield', 'Right Back', 'Right Back', 'Center Forward', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Left Center Forward', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Forward', 'Right Midfield', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",26.988888888888887
Alberto Mateus Contreiras Gonçalves,Angola,Rayo Vallecano,Forward,28.0,1024.0,23.0,2.0,"['Right Back', 'Right Defensive Midfield', 'Left Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Center Back', 'Center Attacking Midfield', 'Right Center Forward', 'Left Back', 'Right Wing', 'Left Center Back']","['Right Defensive Midfield', 'Left Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Left Back', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Back', 'Left Midfield', 'Right Center Forward', 'Right Wing', 'Right Back', 'Left Center Forward', 'Left Center Back', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Back', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward']",11.377777777777778
Aleix Vidal Parreu,Spain,Barcelona,Defender,9.0,549.0,3.0,2.0,['Right Back'],"['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",6.1
Alejandro Arribas Garrido,Spain,RC Deportivo La Coruña,Defender,31.0,2757.0,0.0,2.0,"['Left Center Forward', 'Right Center Back', 'Left Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Forward', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",30.633333333333333
Alejandro Barrera García,Spain,Sporting Gijón,Midfielder,5.0,75.0,5.0,0.0,"['Right Back', 'Left Midfield', 'Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Left Back']","['Right Center Forward', 'Left Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Back', 'Center Attacking Midfield', 'Center Forward', 'Left Wing']",0.8333333333333334
Alejandro Bergantiños García,Spain,RC Deportivo La Coruña,Midfielder,22.0,1754.0,2.0,3.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Forward', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Center Back', 'Center Attacking Midfield']","['Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Back', 'Center Defensive Midfield']",19.488888888888887
Alejandro Campos Tablado,Spain,Rayo Vallecano,0,0.0,0.0,0.0,0.0,[],[],0.0
Alejandro Menéndez Díez,Spain,Sporting Gijón,Forward,21.0,1070.0,10.0,4.0,"['Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Center Back', 'Left Back', 'Right Wing']","['Left Midfield', 'Right Wing', 'Left Midfield', 'Left Back', 'Right Wing', 'Left Midfield', 'Left Back', 'Right Center Back', 'Left Wing', 'Left Midfield', 'Left Back', 'Left Defensive Midfield', 'Left Midfield', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Back', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Back', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Back', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing']",11.88888888888889
Alejandro Remiro Gargallo,Spain,Athletic Club,0,0.0,0.0,0.0,0.0,[],[],0.0
Aleksandar Pantić,Serbia,Eibar,Defender,20.0,1684.0,2.0,1.0,"['Right Back', 'Right Center Back', 'Left Center Back']","['Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back']",18.711111111111112
Alen Halilović,Croatia,Sporting Gijón,Midfielder,36.0,2384.0,12.0,9.0,"['Right Back', 'Center Forward', 'Left Defensive Midfield', 'Right Wing Back', 'Right Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Center Forward', 'Right Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Right Back', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing Back', 'Right Wing Back', 'Center Attacking Midfield', 'Right Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Midfield', 'Right Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Center Forward', 'Right Midfield', 'Right Midfield', 'Right Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield']",26.488888888888887
Alexis Ruano Delgado,Spain,Getafe,Defender,15.0,1350.0,0.0,0.0,"['Right Back', 'Left Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",15.0
Alfonso Pedraza Sag,Spain,Villarreal,Midfielder,2.0,105.0,0.0,2.0,"['Left Midfield', 'Left Wing']","['Left Midfield', 'Left Midfield', 'Left Wing']",1.1666666666666667
Alfred John Momar N''Diaye,Senegal,Real Betis,Midfielder,34.0,3007.0,0.0,3.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Back', 'Right Wing', 'Left Center Back']","['Right Defensive Midfield', 'Left Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Right Wing', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield']",33.41111111111111
Alhassane Bangoura,Guinea,Rayo Vallecano,Forward,16.0,831.0,9.0,5.0,"['Right Back', 'Left Wing Back', 'Right Wing Back', 'Right Midfield', 'Right Center Midfield', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Right Wing']","['Right Wing', 'Right Wing Back', 'Right Wing', 'Right Wing', 'Right Center Midfield', 'Right Wing Back', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Left Center Forward', 'Right Wing', 'Left Wing Back', 'Right Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Back', 'Right Wing', 'Right Center Forward', 'Right Midfield']",9.233333333333333
Alphonse Areola,France,Villarreal,Goalkeeper,32.0,2880.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",32.0
Amath Ndiaye,Senegal,Atlético Madrid,0,0.0,0.0,0.0,0.0,[],[],0.0
Anaitz Arbilla Zabala,Spain,Espanyol,Defender,7.0,630.0,0.0,0.0,"['Right Wing Back', 'Right Back']","['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back']",7.0
Ander Bardaji Maiza Lasgar,Spain,Real Sociedad,0,0.0,0.0,0.0,0.0,[],[],0.0
Ander Capa Rodríguez,Spain,Eibar,Defender,36.0,3126.0,2.0,1.0,"['Right Back', 'Right Wing']","['Right Back', 'Right Wing', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",34.733333333333334
Ander Gayoso Reina,Spain,Eibar,Defender,1.0,8.0,1.0,0.0,['Left Back'],['Left Back'],0.08888888888888889
Ander Iturraspe Derteano,Spain,Athletic Club,Midfielder,16.0,730.0,9.0,5.0,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Back']","['Left Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield']",8.11111111111111
Andreu Fontàs Prat,Spain,Celta Vigo,Defender,7.0,543.0,1.0,1.0,"['Right Center Back', 'Left Center Back']","['Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",6.033333333333333
André Filipe Tavares Gomes,Portugal,Valencia,Midfielder,30.0,2385.0,3.0,7.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Wing']","['Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Wing', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Midfield']",26.5
Andrés Eduardo Fernández Moreno,Spain,Granada,Goalkeeper,37.0,3330.0,0.0,0.0,"['Left Back', 'Goalkeeper']","['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Left Back', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",37.0
Andrés Iniesta Luján,Spain,Barcelona,Midfielder,28.0,2252.0,3.0,5.0,"['Right Center Midfield', 'Left Center Midfield', 'Right Wing']","['Left Center Midfield', 'Right Wing', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield']",25.022222222222222
Andrés Pascual Santoja,Spain,Valencia,Forward,1.0,56.0,1.0,0.0,"['Left Wing', 'Right Wing']","['Left Wing', 'Right Wing', 'Left Wing']",0.6222222222222222
Andrés Tomás Prieto Albert,Spain,Espanyol,0,0.0,0.0,0.0,0.0,[],[],0.0
