player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Abdul Majeed Waris,Ghana,Lorient,Forward,21.0,1703.0,1.0,5.0,"['Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Center Forward']","['Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward']",18.92222222222222
Adam Ounas,Algeria,Bordeaux,Forward,23.0,1339.0,8.0,9.0,"['Center Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Wing', 'Right Midfield', 'Right Center Forward', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Right Wing']",14.877777777777778
Adama Ba,Mauritania,Bastia,0,0.0,0.0,0.0,0.0,[],[],0.0
Adama Traoré,Mali,AS Monaco,Midfielder,6.0,374.0,2.0,2.0,"['Left Wing', 'Right Back', 'Left Center Midfield', 'Left Defensive Midfield']","['Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Back', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield']",4.155555555555556
Adrien Hunou,France,Rennes,0,0.0,0.0,0.0,0.0,[],[],0.0
Adrien Rabiot,France,Paris Saint-Germain,Midfielder,24.0,1686.0,5.0,10.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield']","['Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield']",18.733333333333334
Adrien Regattin,Morocco,Toulouse,Forward,34.0,1572.0,18.0,11.0,"['Right Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Right Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Center Forward', 'Right Wing', 'Right Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Attacking Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Right Attacking Midfield', 'Left Center Midfield', 'Right Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Left Attacking Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Attacking Midfield', 'Left Attacking Midfield', 'Left Midfield']",17.466666666666665
Adrien Thomasson,France,Nantes,Forward,34.0,2523.0,4.0,15.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Left Back', 'Right Wing']","['Right Center Forward', 'Left Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Defensive Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Left Wing', 'Left Defensive Midfield', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Back', 'Left Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Center Midfield']",28.033333333333335
Adryan Oliveira Tavares,Brazil,Nantes,Forward,26.0,1487.0,7.0,16.0,"['Left Center Midfield', 'Left Midfield', 'Center Forward', 'Left Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Back', 'Right Wing']","['Left Wing', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Back', 'Left Midfield', 'Center Forward', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Attacking Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Left Wing']",16.522222222222222
Alaeddine Yahia,Tunisia,Caen,Defender,26.0,2270.0,0.0,2.0,"['Center Attacking Midfield', 'Left Center Forward', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",25.22222222222222
Alassane Pléa,France,OGC Nice,Forward,19.0,1411.0,2.0,12.0,"['Left Center Midfield', 'Left Midfield', 'Center Forward', 'Right Wing Back', 'Left Center Forward', 'Left Wing', 'Right Center Forward', 'Right Wing']","['Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Left Center Midfield', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Wing', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Right Wing Back', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Wing', 'Right Wing', 'Left Center Forward', 'Left Center Forward']",15.677777777777777
Alassane Touré,France,Gazélec Ajaccio,Defender,13.0,956.0,2.0,3.0,"['Right Wing Back', 'Right Midfield', 'Right Back', 'Left Center Midfield']","['Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Wing Back', 'Right Back', 'Left Center Midfield', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Back']",10.622222222222222
Alban Lafont,France,Toulouse,Goalkeeper,24.0,2144.0,0.0,1.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",23.822222222222223
Albert Rafetraniaina,Madagascar,OGC Nice,Midfielder,1.0,7.0,1.0,0.0,['Right Center Midfield'],['Right Center Midfield'],0.07777777777777778
Aldo Kalulu Kyatengwa,France,Lyon,"Midfielder, Forward",10.0,231.0,9.0,1.0,"['Left Center Midfield', 'Left Midfield', 'Center Forward', 'Right Center Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Center Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Forward', 'Left Midfield', 'Right Wing', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward']",2.566666666666667
Alec Georgen,France,Paris Saint-Germain,0,0.0,0.0,0.0,0.0,[],[],0.0
Alejandro Bedoya,United States of America,Nantes,Midfielder,28.0,2079.0,6.0,4.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Right Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Left Wing', 'Right Midfield', 'Left Wing', 'Right Wing']",23.1
Aleksandar Pešić,Serbia,Toulouse,Forward,23.0,679.0,18.0,4.0,"['Center Defensive Midfield', 'Left Attacking Midfield', 'Center Forward', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Left Defensive Midfield', 'Left Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Center Forward', 'Right Midfield', 'Right Center Forward', 'Center Forward', 'Right Wing', 'Left Wing', 'Center Forward', 'Center Forward', 'Center Defensive Midfield', 'Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Left Attacking Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Left Attacking Midfield', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield']",7.544444444444444
Alexander Djiku,Ghana,Bastia,Defender,20.0,1598.0,1.0,3.0,"['Right Back', 'Right Wing Back', 'Left Center Forward', 'Right Center Back', 'Center Attacking Midfield', 'Left Center Back']","['Right Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Center Back', 'Left Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Center Attacking Midfield', 'Left Center Forward', 'Right Back', 'Right Back', 'Right Back']",17.755555555555556
Alexander Toft Søderlund,Norway,Saint-Étienne,Forward,13.0,844.0,4.0,4.0,"['Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Wing']","['Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward']",9.377777777777778
Alexandre Coeff,France,Gazélec Ajaccio,Defender,23.0,1916.0,2.0,2.0,"['Right Back', 'Right Wing Back', 'Right Midfield', 'Right Center Back', 'Left Back', 'Left Center Back']","['Right Midfield', 'Right Back', 'Right Midfield', 'Left Center Back', 'Right Back', 'Left Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Center Back']",21.288888888888888
Alexandre Lacazette,France,Lyon,Forward,34.0,2956.0,0.0,6.0,"['Center Forward', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Center Forward']","['Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward']",32.84444444444444
Alexandre Letellier,France,Angers,Goalkeeper,17.0,1530.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",17.0
Alexandre Mendy,Guinea-Bissau,OGC Nice,Forward,18.0,428.0,15.0,2.0,"['Left Center Midfield', 'Left Wing Back', 'Center Forward', 'Left Center Forward', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Forward']","['Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Left Wing Back', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Forward']",4.7555555555555555
Alexandre Olliero,France,Nantes,0,0.0,0.0,0.0,0.0,[],[],0.0
Alexandre Raineau,France,Caen,Defender,7.0,335.0,4.0,1.0,"['Right Back', 'Left Center Midfield', 'Center Forward', 'Right Center Midfield', 'Left Back']","['Center Forward', 'Left Center Midfield', 'Left Back', 'Left Back', 'Left Back', 'Right Center Midfield', 'Left Back', 'Left Back', 'Right Back', 'Left Back']",3.7222222222222223
Alexi Peuget,France,Stade de Reims,Midfielder,12.0,681.0,4.0,5.0,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Center Back']","['Left Center Forward', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield']",7.566666666666666
Alexis Alégué Elandi,Cameroon,Nantes,Forward,3.0,104.0,2.0,1.0,"['Right Center Midfield', 'Left Wing', 'Right Wing']","['Right Wing', 'Right Center Midfield', 'Right Wing', 'Left Wing']",1.1555555555555554
Alexis Araujo,Portugal,Lille,Forward,1.0,6.0,1.0,0.0,['Left Wing'],['Left Wing'],0.06666666666666667
Alexis Blin,France,Toulouse,Midfielder,24.0,1441.0,9.0,2.0,"['Right Attacking Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Forward', 'Left Defensive Midfield', 'Right Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Back']","['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Center Forward', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Forward', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Midfield', 'Right Attacking Midfield', 'Left Defensive Midfield', 'Right Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield']",16.011111111111113
Alhassane Bangoura,Guinea,Stade de Reims,Forward,10.0,444.0,7.0,3.0,"['Right Attacking Midfield', 'Left Wing Back', 'Center Forward', 'Right Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Left Center Back']","['Right Wing', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Left Wing Back', 'Right Wing', 'Center Forward', 'Right Wing', 'Center Forward', 'Right Attacking Midfield', 'Left Center Forward', 'Right Wing', 'Center Forward', 'Right Wing', 'Left Center Back', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Center Forward']",4.933333333333334
Ali Nadhoim Ahamada,Comoros,Toulouse,Goalkeeper,6.0,540.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",6.0
