player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,league
Allan Saint-Maximin,France,Hannover 96,Midfielder,16.0,482.0,15.0,1.0,"['Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Right Wing', 'Center Forward', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Attacking Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Midfield', 'Right Center Midfield', 'Right Center Forward', 'Left Center Midfield', 'Center Forward', 'Right Center Forward', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Right Wing Back', 'Left Wing', 'Left Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Wing', 'Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Attacking Midfield', 'Left Midfield', 'Center Forward', 'Center Attacking Midfield']",5.355555555555555,bundesliga
Almog Cohen,Israel,Ingolstadt,Midfielder,20.0,858.0,12.0,6.0,"['Center Defensive Midfield', 'Right Center Midfield', 'Right Wing', 'Left Center Midfield', 'Right Defensive Midfield', 'Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Defensive Midfield']","['Left Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Forward', 'Left Center Midfield', 'Right Center Midfield', 'Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Right Wing', 'Center Forward', 'Right Center Midfield', 'Center Forward', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Forward', 'Left Center Midfield', 'Left Center Midfield', 'Left Wing', 'Left Center Midfield', 'Left Wing', 'Center Forward', 'Left Defensive Midfield']",9.533333333333333,bundesliga
Aloy Ihenacho,Nigeria,Ingolstadt,nan,0.0,0.0,0.0,0.0,[],[],0.0,bundesliga
Andre Hoffmann,Germany,Hannover 96,Midfielder,8.0,518.0,1.0,3.0,"['Left Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield']","['Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']",5.7555555555555555,bundesliga
Andreas Christensen,Denmark,Borussia Mönchengladbach,Defender,31.0,2790.0,0.0,0.0,"['Left Center Back', 'Right Back', 'Right Center Back', 'Left Center Midfield', 'Right Defensive Midfield', 'Center Back', 'Left Defensive Midfield']","['Center Back', 'Left Center Back', 'Center Back', 'Left Center Back', 'Center Back', 'Center Back', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Back', 'Right Center Back', 'Center Back', 'Left Center Back', 'Center Back', 'Right Defensive Midfield', 'Center Back', 'Right Defensive Midfield', 'Center Back', 'Right Center Back', 'Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back']",31.0,bundesliga
Andreas Hirzel,Switzerland,Hamburger SV,Goalkeeper,1.0,55.0,1.0,0.0,['Goalkeeper'],['Goalkeeper'],0.6111111111111112,bundesliga
Andrej Kramarić,Croatia,Hoffenheim,Forward,15.0,1104.0,3.0,3.0,"['Left Center Back', 'Right Wing', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward']","['Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Back', 'Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward']",12.266666666666667,bundesliga
André Hahn,Germany,Borussia Mönchengladbach,Forward,16.0,857.0,8.0,2.0,"['Left Center Back', 'Right Center Midfield', 'Right Back', 'Left Midfield', 'Center Forward', 'Center Back', 'Left Wing Back', 'Right Attacking Midfield', 'Right Center Forward', 'Left Attacking Midfield', 'Left Center Forward', 'Right Midfield']","['Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Attacking Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Left Center Back', 'Center Back', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Left Wing Back', 'Left Attacking Midfield', 'Right Midfield', 'Left Center Forward', 'Right Back', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Center Forward', 'Right Center Forward', 'Left Midfield', 'Right Center Forward']",9.522222222222222,bundesliga
André Ramalho Silva,Brazil,Bayer Leverkusen,Defender,19.0,1167.0,8.0,0.0,"['Left Center Back', 'Right Midfield', 'Right Wing', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Forward', 'Left Wing', 'Left Defensive Midfield']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Defensive Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Defensive Midfield', 'Right Center Forward', 'Left Defensive Midfield', 'Left Center Back', 'Right Wing', 'Right Defensive Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Center Back', 'Left Center Back', 'Right Midfield', 'Left Defensive Midfield']",12.966666666666667,bundesliga
André Schürrle,Germany,Wolfsburg,Forward,29.0,1915.0,8.0,8.0,"['Right Center Midfield', 'Right Back', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Right Center Forward', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Left Midfield', 'Center Attacking Midfield', 'Right Back', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Center Forward', 'Left Midfield', 'Left Midfield', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Right Wing', 'Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Center Forward', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Left Wing']",21.27777777777778,bundesliga
Anthony Modeste,France,FC Köln,Forward,34.0,2872.0,1.0,8.0,"['Center Forward', 'Right Center Forward', 'Right Wing Back', 'Left Center Forward']","['Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Right Wing Back', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward']",31.91111111111111,bundesliga
Anthony Ujah,Nigeria,Werder Bremen,Forward,32.0,2356.0,6.0,5.0,"['Right Wing', 'Center Forward', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Right Midfield']","['Right Center Forward', 'Center Forward', 'Left Wing', 'Center Forward', 'Center Forward', 'Right Midfield', 'Right Center Forward', 'Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Right Midfield', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward']",26.177777777777777,bundesliga
Arianit Ferati,Germany,VfB Stuttgart,Midfielder,4.0,172.0,3.0,1.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield']","['Right Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Midfield']",1.9111111111111112,bundesliga
Arjen Robben,Netherlands,Bayern Munich,Midfielder,15.0,1097.0,1.0,8.0,"['Right Center Midfield', 'Right Wing Back', 'Right Wing', 'Left Center Midfield', 'Right Midfield']","['Right Wing', 'Right Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing Back', 'Right Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Wing Back', 'Right Wing Back', 'Right Midfield']",12.188888888888888,bundesliga
Aron Jóhannsson,United States of America,Werder Bremen,Forward,6.0,406.0,1.0,5.0,"['Center Attacking Midfield', 'Right Center Forward', 'Left Center Forward']","['Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward']",4.511111111111111,bundesliga
Artem Kravets,Ukraine,VfB Stuttgart,Forward,15.0,616.0,10.0,3.0,"['Center Defensive Midfield', 'Center Forward', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Forward', 'Left Center Forward']","['Center Forward', 'Right Defensive Midfield', 'Left Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Center Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Center Forward']",6.844444444444444,bundesliga
Artoms Rudņevs,Latvia,Hamburger SV,Forward,11.0,613.0,5.0,4.0,"['Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield']","['Center Forward', 'Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Center Forward', 'Center Forward']",6.811111111111111,bundesliga
