Season,League,Team,Status,Nation,Pos,Global Pos,Age,Matches Played,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Tackles_Att,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Interceptions,Clearances,Errors,Dribblers_Tkl_Succ,Dribblers_Tkl_Att,Dribblers_Tkl_Lost,Blocks_Total,Blocks_Shots,Touches_Number,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Number,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Succ,Receiving_PrgR,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Assists,Key Passes,Passes_to_1/3,Passes_to_Penalt_Area,Crosses_into_Penalty_Area,Progressive Passes,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Goals,Shots,SoT,SoT%,Shots/90,Goals/Shot,Goals/SoT,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Playing Time_Minutes,Playing Time_Mn/MP,Starts,Mn/Start,Compl,Subs,unSub,PPM,onG,onGA,On-Off
2022-2023,Bundesliga,Köln,Squad Total,,,,26.0,34.0,374.0,3060.0,34.0,615.0,287.0,263.0,65.0,372.0,716.0,5.0,310.0,666.0,356.0,423.0,99.0,20320.0,2232.0,7198.0,8697.0,4630.0,751.0,521.0,226.0,236.0,45.3,11017.0,58246.0,28164.0,522.0,383.0,117.0,485.0,287.0,12123.0,1240.0,12242.0,16367.0,74.8,229690.0,84892.0,4634.0,5485.0,84.5,6017.0,7208.0,83.5,1352.0,2725.0,49.6,31.0,307.0,840.0,259.0,84.0,1247.0,705.0,20.74,505.0,78.0,37.0,50.0,27.0,8.0,78.0,2.29,57.0,4.0,5.0,7.0,5.0,0.0,46.0,413.0,146.0,35.4,12.15,0.1,0.29,54.0,4.0,4.0,4.0,3.0,42.3,0.3,-8.7,-0.26,154.0,404.0,38.1,1203.0,117.0,28.8,,185.0,31.4,33.9,468.0,19.0,4.1,22.0,0.65,,54.0,1.59,129.0,77.0,61.2,10.0,12.0,12.0,6.0,17.6,5.0,4.0,1.0,0.0,20.0,3.0,400.0,352.0,68.0,790.0,2.0,5.0,3.0,2022.0,659.0,608.0,3060.0,90.0,374.0,80.0,213.0,160.0,143.0,1.24,49.0,54.0,
2022-2023,Bundesliga,Köln,Opponent Total,,,,26.6,34.0,374.0,3060.0,34.0,523.0,242.0,228.0,53.0,287.0,786.0,6.0,236.0,462.0,226.0,447.0,114.0,20809.0,2572.0,7931.0,8676.0,4413.0,695.0,754.0,356.0,311.0,41.2,11381.0,56114.0,26165.0,470.0,342.0,121.0,516.0,305.0,12723.0,1144.0,12817.0,16789.0,76.3,242447.0,92419.0,5059.0,5978.0,84.6,5825.0,6921.0,84.2,1630.0,2902.0,56.2,37.0,269.0,885.0,225.0,71.0,1157.0,664.0,19.53,465.0,66.0,44.0,45.0,40.0,4.0,93.0,2.74,65.0,5.0,7.0,6.0,10.0,0.0,51.0,371.0,124.0,33.4,10.91,0.13,0.38,49.0,4.0,0.0,4.0,3.0,47.2,0.3,1.2,0.04,202.0,502.0,40.2,1315.0,149.0,29.8,32.3,250.0,44.0,39.8,604.0,38.0,6.3,56.0,1.65,16.6,49.0,1.44,150.0,104.0,70.0,12.0,12.0,10.0,13.0,38.2,4.0,4.0,0.0,0.0,0.0,1.0,369.0,386.0,55.0,598.0,4.0,4.0,3.0,1936.0,608.0,659.0,3060.0,90.0,374.0,80.0,219.0,152.0,149.0,1.41,54.0,49.0,
2022-2023,Bundesliga,Hoffenheim,Squad Total,,,,26.8,34.0,374.0,3060.0,34.0,543.0,254.0,231.0,58.0,285.0,665.0,8.0,236.0,474.0,238.0,428.0,119.0,19434.0,2364.0,6926.0,8417.0,4271.0,705.0,577.0,249.0,268.0,46.4,10627.0,53164.0,25890.0,457.0,330.0,138.0,551.0,258.0,11634.0,1168.0,11754.0,15564.0,75.5,218184.0,88463.0,4941.0,5830.0,84.8,5108.0,6136.0,83.2,1405.0,2668.0,52.7,30.0,294.0,928.0,260.0,77.0,1175.0,719.0,21.15,513.0,65.0,46.0,36.0,47.0,12.0,83.0,2.44,57.0,3.0,9.0,7.0,6.0,1.0,46.0,398.0,130.0,32.7,11.71,0.1,0.3,57.0,2.0,1.0,11.0,1.0,50.4,0.31,-5.6,-0.16,206.0,525.0,39.2,1164.0,168.0,35.3,,249.0,45.8,39.3,529.0,43.0,8.1,43.0,1.26,,57.0,1.68,161.0,105.0,65.8,10.0,6.0,18.0,5.0,14.7,3.0,2.0,0.0,1.0,0.0,3.0,471.0,368.0,78.0,577.0,7.0,3.0,1.0,1843.0,550.0,557.0,3060.0,90.0,374.0,80.0,214.0,157.0,148.0,1.06,48.0,57.0,
2022-2023,Bundesliga,Hoffenheim,Opponent Total,,,,26.6,34.0,374.0,3060.0,34.0,526.0,281.0,189.0,56.0,314.0,606.0,8.0,268.0,517.0,249.0,386.0,98.0,20608.0,2116.0,6832.0,9102.0,4900.0,842.0,548.0,238.0,236.0,43.1,11555.0,57257.0,28924.0,604.0,418.0,165.0,550.0,307.0,12765.0,1325.0,12906.0,16768.0,77.0,235808.0,93447.0,5651.0,6568.0,86.0,5435.0,6494.0,83.7,1515.0,2776.0,54.6,45.0,371.0,945.0,325.0,98.0,1338.0,838.0,24.65,625.0,76.0,41.0,54.0,32.0,10.0,94.0,2.76,70.0,6.0,6.0,9.0,3.0,0.0,56.0,478.0,159.0,33.3,14.06,0.11,0.34,48.0,7.0,1.0,3.0,2.0,47.5,0.29,1.5,0.04,239.0,592.0,40.4,1156.0,133.0,38.4,34.8,231.0,64.1,49.3,450.0,19.0,4.2,56.0,1.65,18.5,48.0,1.41,138.0,91.0,70.3,18.0,6.0,10.0,7.0,20.6,9.0,7.0,1.0,1.0,12.5,1.0,382.0,458.0,65.0,652.0,1.0,9.0,2.0,1931.0,557.0,550.0,3060.0,90.0,374.0,80.0,220.0,154.0,146.0,1.76,57.0,48.0,
2022-2023,Bundesliga,Werder Bremen,Squad Total,,,,27.4,34.0,374.0,3060.0,34.0,595.0,269.0,273.0,53.0,321.0,789.0,7.0,300.0,617.0,317.0,371.0,103.0,20465.0,2390.0,7294.0,9382.0,3965.0,671.0,516.0,233.0,228.0,44.2,10736.0,52169.0,25197.0,412.0,317.0,104.0,503.0,246.0,12329.0,1130.0,12443.0,16554.0,75.2,236998.0,93050.0,5048.0,6006.0,84.0,5399.0,6523.0,82.8,1688.0,3071.0,55.0,37.0,274.0,922.0,274.0,66.0,1140.0,649.0,19.09,502.0,46.0,30.0,25.0,41.0,5.0,90.0,2.65,71.0,6.0,3.0,4.0,6.0,0.0,50.0,363.0,136.0,37.5,10.68,0.12,0.33,64.0,2.0,0.0,6.0,2.0,55.1,0.29,-6.9,-0.2,214.0,530.0,40.4,942.0,165.0,40.7,41.6,291.0,50.5,43.2,496.0,25.0,5.0,42.0,1.24,16.5,64.0,1.88,184.0,121.0,66.3,10.0,6.0,18.0,4.0,11.8,3.0,2.0,1.0,0.0,33.3,0.0,426.0,369.0,65.0,514.0,3.0,3.0,2.0,1987.0,631.0,622.0,3060.0,90.0,374.0,82.0,222.0,151.0,146.0,1.06,51.0,64.0,
2022-2023,Bundesliga,Werder Bremen,Opponent Total,,,,26.5,34.0,374.0,3060.0,34.0,474.0,182.0,224.0,68.0,304.0,568.0,5.0,228.0,461.0,233.0,371.0,80.0,20908.0,2043.0,6430.0,9833.0,4875.0,810.0,706.0,317.0,300.0,42.5,11205.0,58806.0,27876.0,574.0,392.0,160.0,536.0,295.0,12850.0,1279.0,12977.0,17033.0,76.2,232376.0,91048.0,5659.0,6643.0,85.2,5592.0,6660.0,84.0,1365.0,2711.0,50.4,50.0,342.0,997.0,285.0,74.0,1303.0,802.0,23.59,564.0,75.0,62.0,49.0,38.0,14.0,103.0,3.03,77.0,3.0,10.0,8.0,2.0,3.0,62.0,474.0,181.0,38.2,13.94,0.13,0.33,51.0,5.0,1.0,3.0,1.0,47.7,0.3,-2.3,-0.07,216.0,579.0,37.3,1116.0,153.0,42.8,36.7,191.0,52.9,45.4,403.0,27.0,6.7,42.0,1.24,16.1,51.0,1.5,142.0,91.0,67.6,18.0,6.0,10.0,6.0,17.6,6.0,5.0,1.0,0.0,16.7,0.0,387.0,408.0,93.0,629.0,3.0,6.0,1.0,2089.0,622.0,631.0,3060.0,90.0,374.0,82.0,224.0,151.0,151.0,1.76,64.0,51.0,
2022-2023,Bundesliga,Bochum,Squad Total,,,,29.4,34.0,374.0,3060.0,34.0,626.0,301.0,247.0,78.0,337.0,776.0,13.0,310.0,635.0,325.0,402.0,118.0,17478.0,2270.0,6243.0,7442.0,3956.0,661.0,420.0,175.0,195.0,46.4,7951.0,40250.0,18371.0,350.0,274.0,86.0,500.0,258.0,9060.0,1007.0,9209.0,13549.0,68.0,185905.0,86106.0,3742.0,4704.0,79.5,3734.0,4954.0,75.4,1534.0,3145.0,48.8,28.0,289.0,856.0,225.0,73.0,1022.0,678.0,19.94,464.0,92.0,22.0,41.0,46.0,13.0,67.0,1.97,44.0,10.0,4.0,4.0,5.0,0.0,37.0,397.0,127.0,32.0,11.68,0.09,0.27,72.0,8.0,2.0,9.0,3.0,69.0,0.3,0.0,0.0,554.0,1175.0,47.1,1489.0,83.0,66.8,,261.0,69.0,50.6,536.0,31.0,5.8,121.0,3.56,,72.0,2.12,200.0,128.0,68.0,10.0,5.0,19.0,5.0,14.7,14.0,8.0,3.0,3.0,27.3,0.0,429.0,354.0,66.0,568.0,3.0,14.0,3.0,1991.0,770.0,737.0,3060.0,90.0,374.0,81.0,216.0,157.0,144.0,1.03,40.0,72.0,
2022-2023,Bundesliga,Bochum,Opponent Total,,,,26.3,34.0,374.0,3060.0,34.0,453.0,213.0,180.0,60.0,282.0,739.0,8.0,195.0,370.0,175.0,346.0,102.0,19950.0,2379.0,7250.0,8213.0,4698.0,921.0,714.0,325.0,310.0,43.4,10351.0,55225.0,28349.0,525.0,303.0,149.0,537.0,316.0,11607.0,1234.0,11742.0,16038.0,73.2,219649.0,90652.0,5106.0,6094.0,83.8,4821.0,6031.0,79.9,1535.0,3027.0,50.7,40.0,371.0,908.0,325.0,73.0,1247.0,923.0,27.15,631.0,102.0,56.0,68.0,54.0,12.0,112.0,3.29,60.0,11.0,9.0,18.0,12.0,2.0,69.0,520.0,189.0,36.3,15.29,0.12,0.32,40.0,3.0,0.0,8.0,3.0,39.2,0.28,2.2,0.07,211.0,598.0,35.3,1167.0,197.0,39.5,35.7,250.0,54.8,44.6,448.0,40.0,8.9,37.0,1.09,13.8,40.0,1.18,130.0,93.0,71.5,19.0,5.0,10.0,12.0,35.3,3.0,3.0,0.0,0.0,0.0,1.0,370.0,414.0,64.0,676.0,13.0,3.0,3.0,2036.0,737.0,770.0,3060.0,90.0,374.0,81.0,222.0,152.0,151.0,1.82,72.0,40.0,
2022-2023,Bundesliga,Augsburg,Squad Total,,,,25.9,34.0,374.0,3060.0,34.0,522.0,251.0,202.0,69.0,286.0,755.0,14.0,232.0,479.0,247.0,429.0,126.0,16605.0,2549.0,6859.0,6322.0,3604.0,574.0,488.0,201.0,234.0,48.0,7744.0,41189.0,20165.0,331.0,241.0,70.0,490.0,266.0,8309.0,831.0,8422.0,12742.0,66.1,169408.0,75215.0,3104.0,4032.0,77.0,3844.0,5050.0,76.1,1253.0,2819.0,44.4,29.0,240.0,662.0,191.0,44.0,847.0,578.0,17.0,383.0,76.0,26.0,42.0,37.0,14.0,70.0,2.06,42.0,6.0,3.0,10.0,5.0,4.0,41.0,354.0,101.0,28.5,10.41,0.1,0.37,63.0,1.0,2.0,4.0,2.0,63.4,0.31,2.4,0.07,262.0,677.0,38.7,1330.0,175.0,34.7,36.5,330.0,65.2,49.9,539.0,31.0,5.8,67.0,1.97,16.8,63.0,1.85,201.0,138.0,69.2,9.0,7.0,18.0,6.0,17.6,4.0,1.0,2.0,1.0,66.7,2.0,433.0,356.0,58.0,548.0,3.0,4.0,2.0,1792.0,640.0,777.0,3060.0,90.0,374.0,80.0,223.0,150.0,153.0,1.0,42.0,63.0,
2022-2023,Bundesliga,Augsburg,Opponent Total,,,,26.5,34.0,374.0,3060.0,34.0,500.0,231.0,200.0,69.0,262.0,701.0,7.0,234.0,435.0,201.0,387.0,99.0,21970.0,2268.0,7071.0,9767.0,5325.0,919.0,566.0,247.0,232.0,41.0,12276.0,62096.0,30586.0,597.0,438.0,190.0,580.0,290.0,13659.0,1448.0,13841.0,18024.0,76.8,252155.0,99254.0,5992.0,6995.0,85.7,5949.0,7081.0,84.0,1561.0,2925.0,53.4,46.0,400.0,1117.0,325.0,88.0,1458.0,921.0,27.09,672.0,93.0,39.0,64.0,43.0,10.0,108.0,3.18,75.0,9.0,6.0,8.0,8.0,2.0,61.0,535.0,198.0,37.0,15.74,0.11,0.3,42.0,4.0,0.0,6.0,1.0,34.0,0.29,-7.0,-0.21,260.0,636.0,40.9,1292.0,179.0,41.4,35.9,201.0,50.2,41.6,427.0,37.0,8.7,59.0,1.74,17.2,42.0,1.24,105.0,64.0,63.8,18.0,7.0,9.0,7.0,20.6,5.0,4.0,0.0,1.0,0.0,0.0,374.0,410.0,79.0,708.0,3.0,5.0,1.0,1982.0,777.0,640.0,3060.0,90.0,374.0,80.0,219.0,155.0,147.0,1.79,63.0,42.0,
2022-2023,Bundesliga,Stuttgart,Squad Total,,,,24.7,34.0,374.0,3060.0,34.0,528.0,255.0,207.0,66.0,308.0,666.0,10.0,268.0,524.0,256.0,421.0,113.0,20930.0,2407.0,7525.0,9226.0,4438.0,738.0,734.0,337.0,319.0,43.5,11707.0,63068.0,31698.0,609.0,440.0,161.0,563.0,336.0,13345.0,1261.0,13460.0,16987.0,79.2,253792.0,92829.0,5463.0,6341.0,86.2,6101.0,7070.0,86.3,1637.0,2756.0,59.4,34.0,361.0,970.0,260.0,78.0,1278.0,810.0,23.82,561.0,85.0,52.0,54.0,46.0,12.0,83.0,2.44,64.0,3.0,5.0,4.0,5.0,2.0,45.0,457.0,140.0,30.6,13.44,0.09,0.29,57.0,6.0,2.0,6.0,1.0,47.3,0.29,-8.7,-0.26,153.0,341.0,44.9,1102.0,184.0,23.9,,224.0,34.8,35.3,463.0,18.0,3.9,43.0,1.26,,57.0,1.68,146.0,90.0,65.1,7.0,12.0,15.0,2.0,5.9,6.0,6.0,0.0,0.0,0.0,4.0,346.0,407.0,56.0,597.0,4.0,6.0,1.0,1989.0,547.0,470.0,3060.0,90.0,374.0,82.0,229.0,140.0,163.0,0.97,45.0,57.0,
2022-2023,Bundesliga,Stuttgart,Opponent Total,,,,26.6,34.0,374.0,3060.0,34.0,655.0,305.0,274.0,76.0,292.0,653.0,11.0,319.0,656.0,337.0,404.0,123.0,20700.0,2201.0,6789.0,9482.0,4622.0,688.0,573.0,256.0,268.0,46.8,11517.0,58466.0,28309.0,461.0,355.0,116.0,488.0,260.0,13071.0,1212.0,13193.0,16923.0,78.0,237955.0,87003.0,5549.0,6350.0,87.4,5894.0,6951.0,84.8,1340.0,2609.0,51.4,39.0,285.0,980.0,266.0,66.0,1226.0,707.0,20.79,519.0,52.0,43.0,44.0,40.0,9.0,103.0,3.03,78.0,6.0,3.0,6.0,9.0,1.0,56.0,395.0,140.0,35.4,11.62,0.13,0.36,45.0,5.0,1.0,4.0,0.0,48.1,0.31,3.1,0.09,175.0,489.0,35.8,1128.0,131.0,33.5,33.3,252.0,44.0,40.4,482.0,20.0,4.1,39.0,1.15,16.0,45.0,1.32,145.0,100.0,72.4,15.0,12.0,7.0,8.0,23.5,5.0,5.0,0.0,0.0,0.0,0.0,422.0,330.0,53.0,575.0,5.0,5.0,0.0,1865.0,470.0,547.0,3060.0,90.0,374.0,82.0,220.0,154.0,149.0,1.68,57.0,45.0,
2022-2023,Bundesliga,Schalke 04,Squad Total,,,,27.5,34.0,374.0,3060.0,34.0,542.0,240.0,246.0,56.0,306.0,723.0,12.0,253.0,551.0,298.0,397.0,110.0,17260.0,2252.0,6541.0,7024.0,3912.0,677.0,515.0,198.0,250.0,48.5,8384.0,42807.0,19961.0,415.0,295.0,66.0,513.0,274.0,9126.0,928.0,9234.0,13360.0,69.1,182759.0,80288.0,3511.0,4414.0,79.5,4162.0,5223.0,79.7,1331.0,2803.0,47.5,24.0,282.0,698.0,250.0,110.0,934.0,715.0,21.03,487.0,92.0,26.0,51.0,48.0,11.0,56.0,1.65,38.0,6.0,2.0,2.0,7.0,1.0,32.0,421.0,123.0,29.2,12.38,0.07,0.23,71.0,5.0,1.0,7.0,1.0,58.2,0.28,-11.8,-0.35,279.0,658.0,42.4,1034.0,129.0,45.9,,257.0,71.2,53.2,483.0,18.0,3.7,32.0,0.94,,71.0,2.09,193.0,123.0,65.8,7.0,10.0,17.0,7.0,20.6,6.0,5.0,0.0,1.0,0.0,0.0,427.0,391.0,70.0,764.0,3.0,6.0,1.0,1896.0,692.0,739.0,3060.0,90.0,374.0,81.0,228.0,145.0,158.0,0.91,35.0,71.0,
2022-2023,Bundesliga,Schalke 04,Opponent Total,,,,26.6,34.0,374.0,3060.0,34.0,523.0,222.0,241.0,60.0,262.0,840.0,2.0,249.0,447.0,198.0,394.0,108.0,20052.0,2361.0,7071.0,8459.0,4725.0,820.0,640.0,299.0,253.0,39.5,10241.0,57629.0,29797.0,577.0,380.0,179.0,504.0,289.0,11844.0,1223.0,12030.0,16016.0,75.1,223346.0,88735.0,5050.0,6046.0,83.5,5243.0,6326.0,82.9,1432.0,2742.0,52.2,50.0,376.0,947.0,311.0,78.0,1240.0,886.0,26.06,650.0,79.0,58.0,49.0,39.0,11.0,128.0,3.76,100.0,2.0,11.0,5.0,7.0,3.0,70.0,488.0,188.0,38.5,14.35,0.13,0.35,35.0,4.0,1.0,2.0,3.0,37.0,0.25,5.0,0.15,216.0,569.0,38.0,1221.0,170.0,35.9,33.3,246.0,53.3,43.0,585.0,40.0,6.8,40.0,1.18,14.5,35.0,1.03,128.0,95.0,75.8,17.0,10.0,7.0,15.0,44.1,5.0,4.0,1.0,0.0,20.0,2.0,416.0,417.0,62.0,618.0,5.0,5.0,3.0,1860.0,739.0,692.0,3060.0,90.0,374.0,81.0,222.0,151.0,152.0,1.79,71.0,35.0,
2022-2023,Bundesliga,Hertha BSC,Squad Total,,,,26.0,34.0,374.0,3060.0,34.0,576.0,307.0,215.0,54.0,366.0,797.0,8.0,251.0,521.0,270.0,416.0,132.0,17023.0,2095.0,6263.0,7457.0,3531.0,612.0,711.0,323.0,316.0,44.4,8139.0,43026.0,19959.0,413.0,269.0,132.0,521.0,301.0,8796.0,905.0,8876.0,12800.0,69.3,165190.0,72608.0,3726.0,4615.0,80.7,3761.0,4869.0,77.2,1117.0,2467.0,45.3,23.0,247.0,665.0,161.0,42.0,914.0,652.0,19.18,436.0,65.0,56.0,38.0,42.0,15.0,70.0,2.06,49.0,4.0,5.0,3.0,9.0,0.0,42.0,377.0,121.0,32.1,11.09,0.09,0.29,69.0,5.0,4.0,8.0,0.0,60.4,0.33,-8.6,-0.25,209.0,599.0,34.9,999.0,172.0,42.1,,248.0,71.8,53.7,504.0,33.0,6.5,70.0,2.06,,69.0,2.03,170.0,100.0,62.4,7.0,8.0,19.0,3.0,8.8,6.0,5.0,1.0,0.0,16.7,1.0,422.0,394.0,58.0,516.0,4.0,6.0,0.0,1835.0,633.0,701.0,3060.0,90.0,374.0,80.0,220.0,153.0,153.0,0.85,42.0,69.0,
2022-2023,Bundesliga,Hertha BSC,Opponent Total,,,,26.7,34.0,374.0,3060.0,34.0,617.0,272.0,278.0,67.0,299.0,645.0,9.0,316.0,639.0,323.0,350.0,93.0,21919.0,2129.0,7146.0,9934.0,5053.0,796.0,584.0,270.0,251.0,43.0,12197.0,61488.0,30902.0,535.0,411.0,153.0,554.0,325.0,13753.0,1314.0,13867.0,18039.0,76.9,250228.0,93013.0,5895.0,6904.0,85.4,6118.0,7220.0,84.7,1473.0,2855.0,51.6,51.0,366.0,1058.0,307.0,78.0,1328.0,832.0,24.47,587.0,90.0,44.0,52.0,46.0,13.0,120.0,3.53,78.0,12.0,10.0,11.0,8.0,1.0,69.0,469.0,164.0,35.0,13.79,0.14,0.39,42.0,7.0,0.0,2.0,0.0,38.5,0.25,-3.5,-0.1,175.0,480.0,36.5,1094.0,158.0,32.5,32.6,253.0,49.0,42.0,405.0,20.0,4.9,50.0,1.47,16.1,42.0,1.24,128.0,86.0,72.7,19.0,8.0,7.0,8.0,23.5,7.0,7.0,0.0,0.0,0.0,0.0,412.0,400.0,76.0,652.0,2.0,7.0,0.0,1933.0,701.0,633.0,3060.0,90.0,374.0,80.0,222.0,153.0,147.0,1.91,69.0,42.0,
2022-2023,LaLiga,Barcelona,Squad Total,,,,25.9,38.0,418.0,3420.0,38.0,522.0,211.0,216.0,95.0,253.0,439.0,17.0,227.0,496.0,269.0,353.0,82.0,28406.0,2019.0,6756.0,13998.0,7881.0,1152.0,801.0,396.0,321.0,40.1,18798.0,101309.0,55608.0,963.0,784.0,279.0,546.0,325.0,21132.0,2166.0,21293.0,24725.0,86.1,364326.0,115126.0,10262.0,11168.0,91.9,8599.0,9542.0,90.1,1990.0,2923.0,68.1,56.0,449.0,1859.0,481.0,104.0,2180.0,1049.0,27.61,824.0,65.0,62.0,58.0,29.0,11.0,125.0,3.29,106.0,2.0,6.0,11.0,0.0,0.0,69.0,570.0,187.0,32.8,15.0,0.12,0.37,20.0,3.0,0.0,2.0,3.0,25.1,0.22,8.1,0.21,169.0,338.0,50.0,1238.0,190.0,21.9,,201.0,33.3,34.9,375.0,18.0,4.8,43.0,1.13,,20.0,0.53,102.0,85.0,83.3,28.0,4.0,6.0,26.0,68.4,3.0,3.0,0.0,0.0,0.0,3.0,433.0,452.0,98.0,744.0,0.0,3.0,3.0,1994.0,467.0,358.0,3420.0,90.0,418.0,81.0,246.0,168.0,227.0,2.32,70.0,20.0,
2022-2023,LaLiga,Barcelona,Opponent Total,,,,27.4,38.0,418.0,3420.0,38.0,647.0,332.0,250.0,65.0,369.0,746.0,17.0,321.0,717.0,396.0,423.0,139.0,17703.0,2713.0,6968.0,7319.0,3601.0,547.0,567.0,271.0,227.0,40.0,9548.0,51240.0,23752.0,474.0,341.0,131.0,517.0,295.0,10223.0,952.0,10316.0,13758.0,75.0,190049.0,78390.0,4734.0,5458.0,86.7,3903.0,4724.0,82.6,1358.0,2606.0,52.1,10.0,244.0,747.0,198.0,61.0,955.0,560.0,14.74,410.0,51.0,26.0,37.0,20.0,16.0,25.0,0.66,17.0,1.0,1.0,3.0,3.0,0.0,17.0,328.0,99.0,30.2,8.63,0.04,0.14,70.0,0.0,0.0,4.0,1.0,63.6,0.34,-5.4,-0.14,287.0,724.0,39.6,964.0,149.0,50.2,39.9,346.0,69.4,51.3,561.0,26.0,4.6,50.0,1.32,15.5,70.0,1.84,187.0,118.0,62.6,6.0,4.0,28.0,4.0,10.5,2.0,0.0,0.0,2.0,,2.0,471.0,412.0,120.0,483.0,3.0,1.0,1.0,1831.0,359.0,467.0,3420.0,90.0,418.0,81.0,235.0,179.0,244.0,0.58,20.0,70.0,
2022-2023,LaLiga,Real Madrid,Squad Total,,,,27.4,38.0,418.0,3420.0,38.0,542.0,242.0,212.0,88.0,296.0,469.0,5.0,259.0,565.0,306.0,365.0,105.0,28884.0,2415.0,7781.0,12859.0,8464.0,1151.0,971.0,475.0,379.0,39.0,19025.0,100381.0,53186.0,1008.0,735.0,338.0,490.0,297.0,21956.0,2000.0,22082.0,25012.0,88.3,357586.0,113878.0,11462.0,12245.0,93.6,8069.0,8810.0,91.6,1812.0,2595.0,69.8,56.0,522.0,1880.0,384.0,50.0,2017.0,1194.0,31.42,894.0,85.0,88.0,52.0,67.0,8.0,134.0,3.53,95.0,5.0,15.0,8.0,10.0,1.0,73.0,634.0,206.0,32.5,16.68,0.1,0.31,36.0,4.0,0.0,2.0,1.0,34.2,0.22,-0.8,-0.02,97.0,241.0,40.2,1172.0,230.0,16.7,,189.0,23.8,30.7,420.0,33.0,7.9,51.0,1.34,,36.0,0.95,136.0,100.0,76.5,24.0,6.0,8.0,13.0,34.2,5.0,4.0,1.0,0.0,20.0,2.0,367.0,530.0,89.0,574.0,8.0,5.0,1.0,1843.0,339.0,231.0,3420.0,90.0,418.0,83.0,265.0,151.0,248.0,2.05,75.0,36.0,
2022-2023,LaLiga,Real Madrid,Opponent Total,,,,27.3,38.0,418.0,3420.0,38.0,676.0,377.0,218.0,81.0,331.0,678.0,8.0,379.0,854.0,475.0,492.0,175.0,19962.0,2604.0,6935.0,8542.0,4676.0,640.0,617.0,306.0,259.0,42.0,11793.0,62129.0,32006.0,631.0,505.0,140.0,470.0,283.0,12901.0,1178.0,13004.0,15986.0,81.3,225607.0,85520.0,6326.0,6960.0,90.9,4976.0,5716.0,87.1,1292.0,2373.0,54.4,21.0,317.0,1013.0,248.0,63.0,1189.0,720.0,18.95,516.0,69.0,49.0,44.0,27.0,15.0,50.0,1.32,32.0,3.0,2.0,10.0,3.0,0.0,35.0,417.0,131.0,31.4,10.97,0.07,0.24,75.0,9.0,3.0,9.0,2.0,67.6,0.27,-5.4,-0.14,237.0,594.0,39.9,879.0,152.0,42.1,37.6,336.0,66.7,50.0,448.0,27.0,6.0,21.0,0.55,12.2,75.0,1.97,217.0,142.0,69.6,8.0,6.0,24.0,5.0,13.2,12.0,9.0,2.0,1.0,18.2,1.0,549.0,348.0,56.0,541.0,0.0,12.0,2.0,1730.0,231.0,339.0,3420.0,90.0,418.0,83.0,236.0,178.0,233.0,0.79,36.0,75.0,
