player_id;short_name;club_name;age;overall;player_positions;preferred_foot;nationality_name;value_eur;wage_eur;international_reputation
240130;Éder Militão;Real Madrid;25;86;CB;Right;Brazil;80.0 mio;210.0 k;3
241096;S. Tonali;Newcastle United;23;86;CDM, CM;Right;Italy;84.0 mio;140.0 k;3
224232;N. Barella;Inter;26;86;CM;Right;Italy;83.5 mio;135.0 k;3
231281;T. Alexander-Arnold;Liverpool;24;86;RB;Right;England;81.0 mio;140.0 k;3
232411;C. Nkunku;Chelsea;25;86;CF, CAM, ST;Right;France;86.5 mio;185.0 k;3
231443;O. Dembélé;Paris Saint Germain;26;86;RW, LW;Left;France;80.0 mio;150.0 k;3
20801;Cristiano Ronaldo;Al Nassr;38;86;ST;Right;Portugal;23.0 mio;66.0 k;5
182521;T. Kroos;Real Madrid;33;86;CM, CDM;Right;Germany;42.0 mio;240.0 k;4
186153;W. Szczęsny;Juventus;33;86;GK;Right;Poland;22.0 mio;125.0 k;3
186942;İ. Gündoğan;FC Barcelona;32;86;CM, CDM;Right;Germany;53.5 mio;220.0 k;3
189513;Parejo;Villarreal;34;86;CM, CDM;Right;Spain;31.5 mio;64.0 k;2
204485;R. Mahrez;Al Ahli Jeddah;32;86;RM, RW;Left;Algeria;54.0 mio;72.0 k;3
208722;S. Mané;Al Nassr;31;86;CF, LM, ST;Right;Senegal;57.5 mio;87.0 k;4
210514;João Cancelo;FC Barcelona;29;86;LB, RB;Right;Portugal;59.5 mio;195.0 k;3
211110;P. Dybala;Roma;29;86;CF, CAM;Left;Argentina;68.0 mio;130.0 k;3
215914;N. Kanté;Al Ittihad;32;86;CDM, CM;Right;France;45.0 mio;73.0 k;4
216267;A. Robertson;Liverpool;29;86;LB;Left;Scotland;59.5 mio;170.0 k;3
223848;S. Milinković-Savić;Al Hilal;28;86;CM;Right;Serbia;68.0 mio;84.0 k;3
243812;Rodrygo;Real Madrid;22;85;RW, LW, ST;Right;Brazil;86.5 mio;210.0 k;3
256630;F. Wirtz;Bayer 04 Leverkusen;20;85;CAM, CM;Right;Germany;83.5 mio;65.0 k;3
232656;T. Hernández;Milan;25;85;LB, LM;Left;France;73.5 mio;90.0 k;3
237383;A. Bastoni;Inter;24;85;CB;Left;Italy;73.5 mio;95.0 k;2
237692;P. Foden;Manchester City;23;85;LW, RW;Left;England;81.5 mio;180.0 k;3
241486;J. Koundé;FC Barcelona;24;85;CB, RB;Right;France;69.5 mio;160.0 k;3
231677;M. Rashford;Manchester United;25;85;LW, LM, ST;Right;England;71.5 mio;185.0 k;3
224458;Diogo Jota;Liverpool;26;85;CF, LW;Right;Portugal;67.5 mio;180.0 k;2
234378;D. Rice;Arsenal;24;85;CDM, CM;Right;England;63.0 mio;130.0 k;3
203574;J. Stones;Manchester City;29;85;CB, RB;Right;England;49.5 mio;180.0 k;2
212218;A. Laporte;Al Nassr;29;85;CB;Left;Spain;49.5 mio;70.0 k;3
226753;A. Onana;Manchester United;27;85;GK;Right;Cameroon;46.0 mio;130.0 k;3
186345;K. Trippier;Newcastle United;32;85;RB;Right;England;37.5 mio;150.0 k;2
188943;K. Trapp;Eintracht Frankfurt;32;85;GK;Right;Germany;26.5 mio;51.0 k;3
192387;C. Immobile;Lazio;33;85;ST;Right;Italy;34.5 mio;90.0 k;4
192629;Iago Aspas;Celta de Vigo;35;85;ST;Left;Spain;23.0 mio;38.0 k;3
193041;K. Navas;Paris Saint Germain;36;85;GK;Right;Costa Rica;6.0 mio;60.0 k;3
197445;D. Alaba;Real Madrid;31;85;CB, LB;Left;Austria;37.0 mio;200.0 k;4
201535;R. Varane;Manchester United;30;85;CB;Right;France;44.0 mio;160.0 k;3
202811;E. Martínez;Aston Villa;30;85;GK;Right;Argentina;36.0 mio;100.0 k;3
205452;A. Rüdiger;Real Madrid;30;85;CB;Right;Germany;44.0 mio;200.0 k;3
206517;J. Grealish;Manchester City;27;85;LW, LM;Right;England;57.5 mio;200.0 k;3
208128;H. Çalhanoğlu;Inter;29;85;CM, CDM;Right;Turkey;52.5 mio;130.0 k;3
209658;L. Goretzka;FC Bayern München;28;85;CM, CDM;Right;Germany;54.0 mio;100.0 k;4
209981;Y. Bounou;Al Hilal;32;85;GK;Left;Morocco;26.5 mio;54.0 k;3
209989;T. Partey;Arsenal;30;85;CDM, CM;Right;Ghana;45.0 mio;150.0 k;2
210935;D. Berardi;Sassuolo;28;85;RW, RM;Left;Italy;54.5 mio;40.0 k;2
213345;K. Coman;FC Bayern München;27;85;LM, RM;Right;France;57.5 mio;100.0 k;4
217870;G. Di Lorenzo;Napoli;29;85;RB;Right;Italy;47.5 mio;86.0 k;2
224334;M. Acuña;Sevilla;31;85;LB, LM;Left;Argentina;39.0 mio;46.0 k;3
241637;A. Tchouaméni;Real Madrid;23;84;CDM, CM;Right;France;58.5 mio;160.0 k;3
226754;I. Bennacer;Milan;25;84;CDM, CM, CAM;Left;Algeria;53.5 mio;84.0 k;2
232756;F. Tomori;Milan;25;84;CB;Right;England;52.5 mio;84.0 k;2
241852;M. Diaby;Aston Villa;23;84;RM, LM;Left;France;60.5 mio;105.0 k;3
251566;Gabriel Martinelli;Arsenal;22;84;LW, LM;Right;Brazil;61.5 mio;145.0 k;2
233934;A. Ramsdale;Arsenal;25;84;GK;Right;England;43.0 mio;105.0 k;2
237679;R. Kolo Muani;Paris Saint Germain;24;84;ST, RM;Right;France;58.5 mio;110.0 k;3
239301;L. Martínez;Manchester United;25;84;CB;Left;Argentina;49.5 mio;140.0 k;2
239580;Bremer;Juventus;26;84;CB;Right;Brazil;49.0 mio;135.0 k;1
247851;Bruno Guimarães;Newcastle United;25;84;CM, CDM;Right;Brazil;55.5 mio;145.0 k;2
212190;N. Süle;Borussia Dortmund;27;84;CB, RB;Right;Germany;45.0 mio;66.0 k;3
224293;Rúben Neves;Al Hilal;26;84;CDM, CM;Right;Portugal;47.0 mio;62.0 k;3
227127;Álex Remiro;Real Sociedad;28;84;GK;Right;Spain;36.0 mio;43.0 k;2
232580;Gabriel;Arsenal;25;84;CB;Left;Brazil;47.0 mio;130.0 k;2
235212;A. Hakimi;Paris Saint Germain;24;84;RB, RWB;Right;Morocco;50.5 mio;90.0 k;3
237086;Kim Min Jae;FC Bayern München;26;84;CB;Right;Korea Republic;46.0 mio;82.0 k;2
238074;R. James;Chelsea;23;84;RB, RWB;Right;England;50.5 mio;120.0 k;2
212194;J. Brandt;Borussia Dortmund;27;84;CAM, RM, CM;Right;Germany;48.5 mio;72.0 k;3
213648;P. Højbjerg;Tottenham Hotspur;27;84;CDM, CM;Right;Denmark;43.0 mio;110.0 k;2
220697;J. Maddison;Tottenham Hotspur;26;84;CAM, RM, CM;Right;England;49.5 mio;120.0 k;2
220814;L. Hernández;Paris Saint Germain;27;84;CB, LB;Left;France;42.5 mio;105.0 k;3
225193;Mikel Merino;Real Sociedad;27;84;CM, CAM, LM;Left;Spain;48.0 mio;54.0 k;2
230666;Gabriel Jesus;Arsenal;26;84;ST, RW;Right;Brazil;50.5 mio;165.0 k;2
233419;Raphinha;FC Barcelona;26;84;RW;Left;Brazil;49.5 mio;210.0 k;3
235805;F. Chiesa;Juventus;25;84;LM, LW, RW;Right;Italy;50.5 mio;140.0 k;3
241084;L. Díaz;Liverpool;26;84;LW, LM;Right;Colombia;49.5 mio;165.0 k;2
164240;Thiago Silva;Chelsea;38;84;CB;Right;Brazil;7.5 mio;100.0 k;4
177683;Y. Sommer;Inter;34;84;GK;Right;Switzerland;7.0 mio;84.0 k;3
185122;P. Gulácsi;RB Leipzig;33;84;GK;Right;Hungary;13.5 mio;60.0 k;3
188377;K. Walker;Manchester City;33;84;RB;Right;England;22.0 mio;155.0 k;3
189509;Thiago;Liverpool;32;84;CM;Right;Spain;33.0 mio;150.0 k;3
189596;T. Müller;FC Bayern München;33;84;CAM, CF, ST;Right;Germany;26.5 mio;90.0 k;4
189881;C. Smalling;Roma;33;84;CB;Right;England;20.0 mio;88.0 k;3
192505;R. Lukaku;Roma;30;84;ST;Left;Belgium;41.5 mio;165.0 k;4
192984;K. Casteels;VfL Wolfsburg;31;84;GK;Left;Belgium;22.5 mio;55.0 k;3
193747;Koke;Atlético Madrid;31;84;CDM, CM;Right;Spain;29.5 mio;74.0 k;3
198706;Luis Alberto;Lazio;30;84;CM;Right;Spain;40.5 mio;78.0 k;2
201024;K. Koulibaly;Al Hilal;32;84;CB;Right;Senegal;27.5 mio;62.0 k;3
202556;M. Depay;Atlético Madrid;29;84;CF, LW, ST;Right;Netherlands;42.0 mio;90.0 k;4
203841;N. Pope;Newcastle United;31;84;GK;Right;England;22.5 mio;110.0 k;2
206113;S. Gnabry;FC Bayern München;27;84;RM, ST, LM;Right;Germany;45.0 mio;90.0 k;3
207862;M. Ginter;SC Freiburg;29;84;CB;Right;Germany;35.5 mio;47.0 k;3
208418;Y. Carrasco;Al Shabab;29;84;LW, LWB;Right;Belgium;41.5 mio;69.0 k;3
209499;Fabinho;Al Ittihad;29;84;CDM;Right;Brazil;36.0 mio;65.0 k;3
210008;A. Rabiot;Juventus;28;84;CM, LM;Left;France;42.0 mio;150.0 k;2
210035;Grimaldo;Bayer 04 Leverkusen;27;84;LWB, LM;Left;Spain;40.5 mio;74.0 k;3
212616;R. De Paul;Atlético Madrid;29;84;CM;Right;Argentina;41.0 mio;85.0 k;3
216435;S. Lobotka;Napoli;28;84;CM, CDM;Right;Slovakia;42.0 mio;86.0 k;2
222492;L. Sané;FC Bayern München;27;84;RM, LM;Left;Germany;45.0 mio;90.0 k;3
226161;Marcos Llorente;Atlético Madrid;28;84;RM, CM, RB;Right;Spain;42.5 mio;85.0 k;3
232363;M. Škriniar;Paris Saint Germain;28;84;CB;Right;Slovakia;36.5 mio;110.0 k;3
264240;Gavi;FC Barcelona;18;83;CM, LW;Right;Spain;68.5 mio;60.0 k;3
243715;W. Saliba;Arsenal;22;83;CB;Right;France;53.0 mio;105.0 k;2
247090;E. Fernández;Chelsea;22;83;CM, CDM;Right;Argentina;58.0 mio;120.0 k;3
234396;A. Davies;FC Bayern München;22;83;LB, LM;Left;Canada;52.0 mio;64.0 k;3
242516;C. Gakpo;Liverpool;24;83;CF, LW;Right;Netherlands;55.5 mio;130.0 k;2
246430;D. Vlahović;Juventus;23;83;ST;Left;Serbia;55.5 mio;125.0 k;2
247819;N. Schlotterbeck;Borussia Dortmund;23;83;CB;Left;Germany;49.5 mio;51.0 k;3
253149;J. Frimpong;Bayer 04 Leverkusen;22;83;RWB, RM;Right;Netherlands;52.0 mio;58.0 k;2
244260;Dani Olmo;RB Leipzig;25;83;CAM, CF;Right;Spain;50.5 mio;71.0 k;3
251809;S. Botman;Newcastle United;23;83;CB;Left;Netherlands;47.0 mio;105.0 k;2
230869;Unai Simón;Athletic Club;26;83;GK;Right;Spain;36.5 mio;31.0 k;3
241464;Pau Torres;Aston Villa;26;83;CB;Left;Spain;42.0 mio;100.0 k;3
213661;A. Christensen;FC Barcelona;27;83;CB;Right;Denmark;38.5 mio;155.0 k;2
216460;J. Giménez;Atlético Madrid;28;83;CB;Right;Uruguay;36.5 mio;71.0 k;2
225116;A. Meret;Napoli;26;83;GK;Left;Italy;34.0 mio;56.0 k;2
229582;G. Mancini;Roma;27;83;CB;Right;Italy;38.5 mio;80.0 k;2
225375;K. Laimer;FC Bayern München;26;83;CDM, CM;Right;Austria;38.0 mio;75.0 k;3
225659;G. Rodríguez;Real Betis;28;83;CDM;Right;Argentina;35.0 mio;37.0 k;2
226851;B. Pavard;Inter;27;83;CB, RB;Right;France;36.5 mio;95.0 k;3
227236;A. Zambo Anguissa;Napoli;27;83;CDM, CM;Right;Cameroon;37.0 mio;69.0 k;1
228251;L. Pellegrini;Roma;27;83;CAM, CM, CF;Right;Italy;42.0 mio;88.0 k;2
229391;Palhinha;Fulham;27;83;CDM, CM;Right;Portugal;37.0 mio;100.0 k;2
230142;Oyarzabal;Real Sociedad;26;83;LM, RM, LW;Left;Spain;43.0 mio;49.0 k;3
234236;P. Schick;Bayer 04 Leverkusen;27;83;ST;Left;Czech Republic;42.5 mio;80.0 k;3
155862;Sergio Ramos;Sevilla;37;83;CB;Right;Spain;6.5 mio;28.0 k;4
167948;H. Lloris;Tottenham Hotspur;36;83;GK;Left;France;4.0 mio;54.0 k;4
178603;M. Hummels;Borussia Dortmund;34;83;CB;Right;Germany;12.0 mio;60.0 k;3
180930;E. Džeko;Fenerbahçe;37;83;ST;Right;Bosnia and Herzegovina;12.5 mio;43.0 k;3
183898;Á. Di María;Benfica;35;83;CF, RW, RM;Left;Argentina;15.5 mio;19.0 k;4
188350;M. Reus;Borussia Dortmund;34;83;CAM, CF;Right;Germany;17.0 mio;66.0 k;3
189332;Jordi Alba;Inter Miami;34;83;LB;Left;Spain;13.5 mio;14.0 k;3
189511;Sergio Busquets;Inter Miami;34;83;CDM;Right;Spain;12.5 mio;14.0 k;4
190460;C. Eriksen;Manchester United;31;83;CM, CDM;Right;Denmark;30.0 mio;145.0 k;3
193301;A. Lacazette;Olympique Lyonnais;32;83;ST;Right;France;29.5 mio;60.0 k;3
199451;W. Ben Yedder;Monaco;32;83;ST;Right;France;29.5 mio;80.0 k;3
199845;F. Acerbi;Inter;35;83;CB;Left;Italy;9.5 mio;67.0 k;3
200724;Nacho Fernández;Real Madrid;33;83;CB, LB, RB;Right;Spain;17.5 mio;170.0 k;2
201153;Morata;Atlético Madrid;30;83;ST;Right;Spain;35.5 mio;80.0 k;3
202648;Sergi Darder;Mallorca;29;83;CM, CDM, CAM;Right;Spain;35.5 mio;44.0 k;2
202652;R. Sterling;Chelsea;28;83;LW, RW, ST;Right;England;36.5 mio;155.0 k;4
204638;W. Orban;RB Leipzig;30;83;CB;Right;Hungary;30.0 mio;67.0 k;3
205498;Jorginho;Arsenal;31;83;CDM, CM;Right;Italy;25.5 mio;125.0 k;2
205693;S. Haller;Borussia Dortmund;29;83;ST;Right;Côte d'Ivoire;36.5 mio;74.0 k;3
205988;L. Shaw;Manchester United;27;83;LB, CB;Left;England;35.0 mio;135.0 k;2
208093;Gerard Moreno;Villarreal;31;83;ST, RM;Left;Spain;30.5 mio;54.0 k;3
208333;E. Can;Borussia Dortmund;29;83;CDM, CB;Right;Germany;31.0 mio;63.0 k;3
208574;F. Kostić;Juventus;30;83;LM, LW;Left;Serbia;35.0 mio;130.0 k;3
210324;J. Hofmann;Bayer 04 Leverkusen;30;83;CAM, RM, LM;Right;Germany;35.0 mio;74.0 k;3
210406;P. Zieliński;Napoli;29;83;CM, CAM;Right;Poland;35.5 mio;78.0 k;3
210413;A. Romagnoli;Lazio;28;83;CB;Left;Italy;31.5 mio;68.0 k;2
216352;M. Brozović;Al Nassr;30;83;CDM, CM;Right;Croatia;30.5 mio;56.0 k;3
216547;Rafa;Benfica;30;83;CF, RM;Right;Portugal;35.5 mio;25.0 k;2
216594;N. Fekir;Real Betis;29;83;CAM;Left;France;35.5 mio;40.0 k;3
220834;Marco Asensio;Paris Saint Germain;27;83;RW;Left;Spain;38.5 mio;115.0 k;3
224179;Borja Iglesias;Real Betis;30;83;ST;Right;Spain;35.5 mio;41.0 k;2
230481;Ronaldo Cabrais;Palmeiras;31;83;CAM, RM;Right;Brazil;30.0 mio;59.0 k;1
248243;E. Camavinga;Real Madrid;20;82;CDM, CM, LB;Left;France;56.5 mio;110.0 k;3
234577;Diogo Costa;Porto;23;82;GK;Right;Portugal;39.0 mio;13.0 k;2
241461;Ferran Torres;FC Barcelona;23;82;LW, RW, ST;Right;Spain;48.0 mio;150.0 k;3
251517;J. Gvardiol;Manchester City;21;82;CB, LB;Left;Croatia;44.5 mio;95.0 k;3
253072;D. Núñez;Liverpool;24;82;ST, LW;Right;Uruguay;48.5 mio;120.0 k;3
233486;R. Le Normand;Real Sociedad;26;82;CB;Right;Spain;40.0 mio;41.0 k;1
235790;K. Havertz;Arsenal;24;82;CAM, RW, ST;Left;Germany;46.0 mio;110.0 k;3
252145;Nuno Mendes;Paris Saint Germain;21;82;LB, LWB;Left;Portugal;43.5 mio;63.0 k;2
222077;M. Locatelli;Juventus;25;82;CDM, CM;Right;Italy;38.5 mio;105.0 k;2
229558;D. Upamecano;FC Bayern München;24;82;CB;Right;France;39.5 mio;59.0 k;3
232488;C. Romero;Tottenham Hotspur;25;82;CB;Right;Argentina;38.0 mio;89.0 k;3
233049;J. Sancho;Manchester United;23;82;LW, LM;Right;England;43.5 mio;130.0 k;3
233084;N. Molina;Atlético Madrid;25;82;RB, RWB, RM;Right;Argentina;39.5 mio;59.0 k;1
236772;D. Szoboszlai;Liverpool;22;82;CAM;Right;Hungary;44.5 mio;110.0 k;2
243245;O. Kökçü;Benfica;22;82;CM, CAM;Right;Turkey;44.0 mio;18.0 k;2
243580;L. Openda;RB Leipzig;23;82;ST;Right;Belgium;44.0 mio;65.0 k;2
226268;F. Dimarco;Inter;25;82;LWB, LM, CB;Left;Italy;37.0 mio;82.0 k;2
227535;R. Bentancur;Tottenham Hotspur;26;82;CM, CDM;Right;Uruguay;39.5 mio;100.0 k;2
236401;N. Mazraoui;FC Bayern München;25;82;RB;Right;Morocco;37.0 mio;65.0 k;2
240091;G. Vicario;Tottenham Hotspur;26;82;GK;Right;Italy;30.5 mio;76.0 k;2
240950;Pedro Gonçalves;Sporting CP;25;82;LW, RW, CM;Right;Portugal;40.5 mio;22.0 k;1
244369;V. Tsygankov;Girona;25;82;RM, CM, CAM;Left;Ukraine;40.5 mio;37.0 k;2
246242;B. Dia;Salernitana;26;82;ST, LW, CF;Right;Senegal;40.5 mio;51.0 k;1
204935;J. Pickford;Everton;29;82;GK;Left;England;25.0 mio;45.0 k;3
216393;Y. Tielemans;Aston Villa;26;82;CM, CDM;Right;Belgium;37.5 mio;100.0 k;2
223197;E. Ünal;Getafe;26;82;ST;Right;Turkey;38.0 mio;44.0 k;2
223959;L. Torreira;Galatasaray;27;82;CDM, CM;Right;Uruguay;33.0 mio;53.0 k;3
225850;P. Kimpembe;Paris Saint Germain;27;82;CB;Left;France;32.5 mio;88.0 k;3
230938;F. Kessié;Al Ahli Jeddah;26;82;CDM, CM;Right;Côte d'Ivoire;34.0 mio;46.0 k;3
231447;D. Malen;Borussia Dortmund;24;82;RM, ST;Right;Netherlands;39.5 mio;52.0 k;2
239837;A. Mac Allister;Liverpool;24;82;CM, CAM, CDM;Right;Argentina;39.5 mio;110.0 k;3
241671;D. Livaković;Fenerbahçe;28;82;GK;Right;Croatia;26.0 mio;38.0 k;3
212188;T. Werner;RB Leipzig;27;82;ST;Right;Germany;35.5 mio;73.0 k;3
213565;T. Lemar;Atlético Madrid;27;82;CM, LM;Left;France;35.0 mio;68.0 k;3
223334;Joelinton;Newcastle United;26;82;CM, LW;Right;Brazil;35.5 mio;125.0 k;2
225341;David García;Osasuna;29;82;CB;Right;Spain;28.0 mio;39.0 k;2
229237;M. Akanji;Manchester City;27;82;CB;Right;Switzerland;30.5 mio;130.0 k;2
229668;Mario Hermoso;Atlético Madrid;28;82;CB;Left;Spain;29.0 mio;65.0 k;1
235410;Y. En-Nesyri;Sevilla;26;82;ST;Left;Morocco;36.5 mio;42.0 k;3
173608;Joselu;Real Madrid;33;82;ST;Right;Spain;19.5 mio;19.0 k;3
178509;O. Giroud;Milan;36;82;ST;Left;France;10.5 mio;66.0 k;3
184134;Fernando;Sevilla;35;82;CDM, CB;Right;Brazil;8.5 mio;25.0 k;2
192318;M. Götze;Eintracht Frankfurt;31;82;CAM, CF, LM;Right;Germany;25.0 mio;53.0 k;4
192366;N. Otamendi;Benfica;35;82;CB;Right;Argentina;8.0 mio;14.0 k;3
196978;C. Wilson;Newcastle United;31;82;ST;Right;England;25.5 mio;135.0 k;2
198176;S. de Vrij;Inter;31;82;CB;Right;Netherlands;21.0 mio;86.0 k;3
199434;D. Tadić;Fenerbahçe;34;82;LW, CF, RW;Left;Serbia;14.5 mio;52.0 k;3
199482;A. Lopes;Olympique Lyonnais;32;82;GK;Left;Portugal;15.0 mio;37.0 k;3
199503;G. Xhaka;Bayer 04 Leverkusen;30;82;CM, CDM;Left;Switzerland;29.0 mio;68.0 k;3
201942;Roberto Firmino;Al Ahli Jeddah;31;82;CF, ST;Right;Brazil;25.5 mio;55.0 k;3
204525;Iñigo Martínez;FC Barcelona;32;82;CB;Left;Spain;20.0 mio;145.0 k;2
204639;S. Savić;Atlético Madrid;32;82;CB;Right;Montenegro;20.0 mio;62.0 k;2
204963;Carvajal;Real Madrid;31;82;RB;Right;Spain;22.0 mio;155.0 k;3
207410;M. Kovačić;Manchester City;29;82;CM, CDM;Right;Croatia;29.5 mio;150.0 k;3
209889;R. Guerreiro;FC Bayern München;29;82;LB, LM, CM;Left;Portugal;27.0 mio;72.0 k;3
210047;F. Schär;Newcastle United;31;82;CB;Right;Switzerland;21.0 mio;115.0 k;2
210411;Otávio;Al Nassr;28;82;RM, LM;Right;Portugal;30.5 mio;59.0 k;2
211688;Gayà;Valencia;28;82;LB, LWB;Left;Spain;27.5 mio;46.0 k;3
211738;M. Flekken;Brentford;30;82;GK;Right;Netherlands;20.5 mio;56.0 k;1
212096;V. Grifo;SC Freiburg;30;82;LM, CF, CAM;Right;Italy;29.5 mio;41.0 k;2
212242;R. Andrich;Bayer 04 Leverkusen;28;82;CDM, CM;Right;Germany;27.0 mio;65.0 k;2
212814;João Mário;Benfica;30;82;RM, LM, CM;Right;Portugal;29.5 mio;21.0 k;3
213516;Ricardo Horta;Sporting Braga;28;82;CAM, CF, RM;Right;Portugal;30.5 mio;24.0 k;1
214997;Á. Correa;Atlético Madrid;28;82;ST, RM;Right;Argentina;31.0 mio;77.0 k;2
216320;S. Fofana;Al Nassr;28;82;CM;Right;Côte d'Ivoire;30.5 mio;59.0 k;3
219522;J. Ledesma;Cádiz;30;82;GK;Right;Argentina;20.5 mio;32.0 k;2
220502;M. Zaccagni;Lazio;28;82;LW;Right;Italy;30.5 mio;73.0 k;1
224987;I. Provedel;Lazio;29;82;GK;Right;Italy;21.0 mio;51.0 k;1
228618;F. Mendy;Real Madrid;28;82;LB;Left;France;27.5 mio;160.0 k;1
230182;Lucas Mantela;Palmeiras;23;82;GK;Right;Brazil;26.0 mio;33.0 k;1
230375;Josué Chiamulera;Athletico Paranaense;31;82;CB;Right;Brazil;21.0 mio;23.0 k;1
231591;Javi Galán;Atlético Madrid;28;82;LB, LWB;Left;Spain;27.5 mio;65.0 k;1
232498;Isi Palazón;Rayo Vallecano;28;82;RM;Left;Spain;30.5 mio;32.0 k;2
234642;É. Mendy;Al Ahli Jeddah;31;82;GK;Right;Senegal;16.0 mio;38.0 k;3
241788;M. Taremi;Porto;30;82;ST, CF;Right;Iran;30.0 mio;23.0 k;2
263578;Balde;FC Barcelona;19;81;LB, RB;Left;Spain;53.0 mio;70.0 k;2
237678;I. Konaté;Liverpool;24;81;CB;Right;France;37.0 mio;90.0 k;2
242444;João Félix;FC Barcelona;23;81;CF, ST, LW;Right;Portugal;41.0 mio;60.0 k;3
244675;Sancet;Athletic Club;23;81;CAM, CM, ST;Right;Spain;40.5 mio;31.0 k;1
255475;Antony;Manchester United;23;81;RW, RM;Left;Brazil;40.5 mio;120.0 k;3
233731;A. Isak;Newcastle United;23;81;ST, LW;Right;Sweden;39.5 mio;110.0 k;2
246172;S. Chukwueze;Milan;24;81;RW, RM;Left;Nigeria;39.0 mio;71.0 k;1
253306;M. Ugarte;Paris Saint Germain;22;81;CDM, CM;Right;Uruguay;36.5 mio;69.0 k;1
